,Player,Team,POS,RUSH_ATT,RUSH_YD,RUSH_TD,REC,REC_YD,REC_TD,FL,PASS_ATT,CMP,PASS_YD,PASS_TD,INTS
1,Jonathan Taylor,IND,RB,323.9,"1,618.7",13.6,42.6,363.6,1.7,2.7,0.0,0.0,0,0.0,0.0
2,Austin Ekeler,LAC,RB,220.2,945.2,9.4,74.5,687.4,5.6,2.3,0.0,0.0,0,0.0,0.0
3,Derrick Henry,TEN,RB,377.7,"1,572.4",11.6,30.3,227.3,0.4,2.6,0.0,0.0,0,0.0,0.0
4,Dalvin Cook,MIN,RB,295.3,"1,271.9",9.9,47.9,374.9,1.1,2.8,0.0,0.0,0,0.0,0.0
5,Joe Mixon,CIN,RB,279.3,"1,112.5",10.6,46.4,312.0,2.6,2.0,0.0,0.0,0,0.0,0.0
6,James Conner,ARI,RB,248.3,952.3,12.1,46.2,382.2,2.4,2.1,0.0,0.0,0,0.0,0.0
7,Najee Harris,PIT,RB,296.2,"1,095.5",8.1,64.8,416.1,2.4,2.4,0.0,0.0,0,0.0,0.0
8,Christian McCaffrey,CAR,RB,214.6,885.5,5.6,85.7,676.8,2.6,2.0,0.0,0.0,0,0.0,0.0
9,Alvin Kamara,NO,RB,228.0,860.7,5.9,61.3,562.6,4.4,1.9,0.0,0.0,0,0.0,0.0
10,David Montgomery,CHI,RB,272.9,"1,070.7",8.4,47.3,356.5,1.4,2.0,0.0,0.0,0,0.0,0.0
11,Leonard Fournette,TB,RB,208.6,849.5,8.6,70.0,464.9,1.7,1.9,0.0,0.0,0,0.0,0.0
12,D'Andre Swift,DET,RB,203.9,843.0,6.5,67.3,501.4,2.8,2.2,0.0,0.0,0,0.0,0.0
13,Antonio Gibson,WAS,RB,237.6,985.9,8.0,39.7,280.7,2.2,2.4,0.0,0.0,0,0.0,0.0
14,Nick Chubb,CLE,RB,242.3,"1,175.1",6.7,25.5,218.0,1.0,2.0,0.0,0.0,0,0.0,0.0
15,Josh Jacobs,LV,RB,243.5,978.4,9.1,39.4,282.9,0.5,2.0,0.0,0.0,0,0.0,0.0
16,Cam Akers,LAR,RB,259.4,"1,066.3",6.5,38.3,319.0,1.3,3.4,0.0,0.0,0,0.0,0.0
17,Javonte Williams,DEN,RB,218.5,962.3,6.3,43.7,322.0,2.5,1.5,0.0,0.0,0,0.0,0.0
18,Aaron Jones,GB,RB,177.1,782.1,5.3,57.7,486.9,3.6,1.5,0.0,0.0,0,0.0,0.0
19,J.K. Dobbins,BAL,RB,193.8,920.7,9.3,35.5,259.2,0.7,1.5,0.0,0.0,0,0.0,0.0
20,Elijah Mitchell,SF,RB,279.1,"1,130.6",6.3,20.1,141.6,1.0,1.8,0.0,0.0,0,0.0,0.0
21,Saquon Barkley,NYG,RB,222.0,839.0,5.2,55.2,392.4,2.5,2.0,0.0,0.0,0,0.0,0.0
22,Breece Hall,NYJ,RB,196.0,897.5,6.1,37.8,322.1,1.7,2.0,0.0,0.0,0,0.0,0.0
23,Ezekiel Elliott,DAL,RB,216.5,867.6,8.0,35.0,232.7,1.5,1.5,0.0,0.0,0,0.0,0.0
24,Damien Harris,NE,RB,206.5,898.8,9.3,17.6,124.7,0.3,1.4,0.0,0.0,0,0.0,0.0
25,Miles Sanders,PHI,RB,211.1,"1,037.4",4.1,33.2,254.8,1.2,2.0,0.0,0.0,0,0.0,0.0
