"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Josh Allen","BUF","599.6","382.2","4,356.0","34.7","15.3","119.0","721.5","6.1","3.8","398.6"
"Patrick Mahomes II","KC","639.9","421.8","4,739.0","34.0","13.0","65.8","387.9","2.9","3.6","361.7"
"Justin Herbert","LAC","631.4","418.6","4,640.2","33.5","14.2","61.7","285.9","3.2","2.0","349.5"
"Jalen Hurts","PHI","487.4","299.2","3,545.0","24.5","13.4","145.5","778.7","8.6","3.5","349.0"
"Lamar Jackson","BAL","532.7","348.4","3,775.2","24.2","14.6","165.0","930.7","3.9","4.4","341.0"
"Kyler Murray","ARI","570.5","386.2","4,157.4","26.3","14.0","102.8","470.5","5.0","3.0","328.8"
"Tom Brady","TB","674.7","445.8","4,753.4","34.3","12.9","29.0","54.9","2.1","3.2","326.2"
"Dak Prescott","DAL","617.0","411.4","4,573.3","32.6","12.7","53.5","179.4","2.8","5.5","324.6"
"Matthew Stafford","LAR","585.5","396.3","4,593.3","32.6","15.9","38.6","70.6","1.8","2.7","310.3"
"Joe Burrow","CIN","561.6","376.2","4,376.1","30.3","14.5","46.9","150.3","2.6","2.3","307.7"
"Aaron Rodgers","GB","546.6","366.3","4,096.3","32.3","7.5","35.3","117.3","2.0","2.1","305.1"
"Russell Wilson","DEN","559.0","361.9","4,156.0","28.5","9.9","63.2","276.1","2.1","3.1","304.1"
"Trey Lance","SF","482.5","302.6","3,753.4","23.3","14.8","111.2","489.1","4.3","2.0","299.3"
"Kirk Cousins","MIN","572.3","374.4","4,244.5","30.2","10.9","29.9","104.7","1.1","3.9","288.9"
"Derek Carr","LV","609.7","412.2","4,572.2","26.6","15.0","34.1","105.5","1.2","4.9","281.9"
"Deshaun Watson","CLE","417.0","272.7","3,173.0","21.5","10.4","82.9","442.7","5.1","2.8","272.1"
"Tua Tagovailoa","MIA","565.5","374.7","3,919.4","24.9","14.3","53.0","160.7","3.0","2.7","270.9"
"Trevor Lawrence","JAC","592.4","375.5","3,959.3","22.1","14.9","71.8","320.5","2.2","4.1","268.6"
"Zach Wilson","NYJ","582.7","349.7","3,861.1","23.6","18.7","43.2","271.2","2.5","2.4","267.3"
"Justin Fields","CHI","522.9","327.6","3,636.8","19.8","18.2","99.5","538.8","3.0","6.7","265.3"
"Ryan Tannehill","TEN","498.2","331.0","3,552.9","23.7","15.4","53.0","248.1","3.6","3.5","261.0"
"Carson Wentz","WAS","537.8","350.4","3,764.6","24.6","11.0","57.0","202.3","1.5","4.7","257.9"
"Matt Ryan","IND","515.8","332.2","3,686.7","26.0","11.6","44.5","128.2","1.9","4.5","255.5"
"Daniel Jones","NYG","544.8","335.5","3,531.9","19.2","18.3","85.3","416.0","2.5","5.6","244.9"
"Jameis Winston","NO","472.5","295.6","3,260.9","23.2","12.7","68.9","314.6","1.3","3.5","242.6"
"Jared Goff","DET","564.2","372.6","3,785.4","24.4","13.0","27.2","88.8","1.1","5.1","241.4"
"Mac Jones","NE","524.0","346.1","3,772.2","23.7","16.7","34.3","110.1","0.7","2.3","239.6"
"Davis Mills","HOU","562.0","365.3","3,889.1","20.7","16.6","27.8","87.8","0.6","2.5","229.0"
"Drew Lock","SEA","428.3","275.0","3,104.8","18.4","10.6","37.7","166.8","1.9","3.0","209.3"
"Marcus Mariota","ATL","429.2","274.4","2,926.3","15.3","14.8","38.9","214.9","1.2","1.1","189.9"
"Sam Darnold","CAR","468.3","285.8","2,976.4","14.3","18.2","47.4","206.8","2.5","4.0","186.1"
"Mitchell Trubisky","PIT","382.7","243.8","2,386.5","14.4","7.7","28.2","83.1","0.9","1.5","156.4"
"Kenny Pickett","PIT","284.6","172.5","1,780.7","10.0","6.5","20.2","74.1","0.6","1.8","111.8"
"Taysom Hill","NO","124.0","72.0","809.0","4.0","6.0","85.0","391.0","4.0","3.0","99.5"
