"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Jonathan Taylor","IND","323.9","1,618.7","13.6","42.6","363.6","1.7","2.7","284.4"
"Austin Ekeler","LAC","220.2","945.2","9.4","74.5","687.4","5.6","2.3","249.1"
"Derrick Henry","TEN","377.7","1,572.4","11.6","30.3","227.3","0.4","2.6","246.5"
"Dalvin Cook","MIN","295.3","1,271.9","9.9","47.9","374.9","1.1","2.8","225.0"
"Joe Mixon","CIN","279.3","1,112.5","10.6","46.4","312.0","2.6","2.0","218.0"
"James Conner","ARI","248.3","952.3","12.1","46.2","382.2","2.4","2.1","216.0"
"Najee Harris","PIT","296.2","1,095.5","8.1","64.8","416.1","2.4","2.4","209.5"
"Christian McCaffrey","CAR","214.6","885.5","5.6","85.7","676.8","2.6","2.0","201.7"
"Alvin Kamara","NO","228.0","860.7","5.9","61.3","562.6","4.4","1.9","200.2"
"David Montgomery","CHI","272.9","1,070.7","8.4","47.3","356.5","1.4","2.0","197.4"
"Leonard Fournette","TB","208.6","849.5","8.6","70.0","464.9","1.7","1.9","189.4"
"D'Andre Swift","DET","203.9","843.0","6.5","67.3","501.4","2.8","2.2","186.1"
"Antonio Gibson","WAS","237.6","985.9","8.0","39.7","280.7","2.2","2.4","183.2"
"Nick Chubb","CLE","242.3","1,175.1","6.7","25.5","218.0","1.0","2.0","181.4"
"Josh Jacobs","LV","243.5","978.4","9.1","39.4","282.9","0.5","2.0","180.1"
"Cam Akers","LAR","259.4","1,066.3","6.5","38.3","319.0","1.3","3.4","178.7"
"Javonte Williams","DEN","218.5","962.3","6.3","43.7","322.0","2.5","1.5","178.3"
"Aaron Jones","GB","177.1","782.1","5.3","57.7","486.9","3.6","1.5","177.0"
"J.K. Dobbins","BAL","193.8","920.7","9.3","35.5","259.2","0.7","1.5","174.9"
"Elijah Mitchell","SF","279.1","1,130.6","6.3","20.1","141.6","1.0","1.8","167.3"
"Saquon Barkley","NYG","222.0","839.0","5.2","55.2","392.4","2.5","2.0","165.0"
"Breece Hall","NYJ","196.0","897.5","6.1","37.8","322.1","1.7","2.0","164.6"
"Ezekiel Elliott","DAL","216.5","867.6","8.0","35.0","232.7","1.5","1.5","164.3"
"Damien Harris","NE","206.5","898.8","9.3","17.6","124.7","0.3","1.4","157.1"
"Miles Sanders","PHI","211.1","1,037.4","4.1","33.2","254.8","1.2","2.0","156.9"
