"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KC","104.5","1,230.4","8.7","0.8","173.5"
"Mark Andrews","BAL","91.4","1,132.2","9.3","0.8","167.3"
"Darren Waller","LV","81.5","994.0","4.8","0.7","127.1"
"George Kittle","SF","74.9","956.2","5.4","0.8","126.5"
"Kyle Pitts","ATL","74.0","983.4","4.0","0.7","120.7"
"Dalton Schultz","DAL","76.4","756.0","6.1","0.7","110.9"
"Dallas Goedert","PHI","61.8","811.0","5.0","0.7","109.7"
"T.J. Hockenson","DET","66.9","680.1","5.6","0.7","100.2"
"Zach Ertz","ARI","66.3","684.7","5.3","0.6","99.1"
"Mike Gesicki","MIA","62.8","709.2","4.3","0.6","95.2"
"Dawson Knox","BUF","44.6","540.9","6.3","0.1","91.5"
"David Njoku","CLE","46.4","589.0","5.3","0.1","90.6"
"Hunter Henry","NE","49.3","540.2","6.0","0.1","89.6"
"Noah Fant","SEA","61.8","645.6","4.0","0.6","87.5"
"Pat Freiermuth","PIT","63.4","540.6","5.7","0.7","86.6"
"Gerald Everett","LAC","59.1","587.5","4.7","1.3","84.1"
"Logan Thomas","WAS","48.7","519.1","5.5","0.6","83.4"
"Tyler Higbee","LAR","58.7","576.2","4.3","0.7","82.1"
"Cole Kmet","CHI","57.3","612.7","3.3","0.7","80.0"
"Irv Smith Jr.","MIN","50.1","502.2","5.0","0.2","79.6"
"Austin Hooper","TEN","54.5","504.4","5.0","0.6","79.1"
"Albert Okwuegbunam","DEN","49.6","506.7","4.4","0.7","75.8"
"Evan Engram","JAC","53.4","563.2","3.3","0.7","75.0"
"Robert Tonyan","GB","44.5","476.3","4.4","0.1","74.0"
"Hayden Hurst","CIN","42.8","431.9","4.3","0.7","67.7"
"Mo Alie-Cox","IND","30.5","394.8","4.0","0.1","63.4"
"Brevin Jordan","HOU","43.0","428.6","3.5","0.2","63.3"
"C.J. Uzomah","NYJ","46.8","426.9","3.3","0.1","62.5"
"Cameron Brate","TB","37.8","357.1","3.7","0.2","57.9"
"Adam Trautman","NO","38.6","391.6","3.3","0.6","57.7"
"Harrison Bryant","CLE","29.5","324.1","4.0","0.1","56.1"
"Foster Moreau","LV","22.7","278.1","3.2","0.1","47.1"
"Dan Arnold","JAC","30.0","354.5","1.7","0.7","44.0"
"Paul Quessenberry","HOU","35.0","336.0","2.0","1.0","43.6"
"Geoff Swaim","TEN","29.7","245.3","2.9","0.1","41.9"
"Jonnu Smith","NE","28.2","300.8","2.0","0.1","41.6"
"James O'Shaughnessy","CHI","29.6","320.4","1.4","0.1","40.5"
"O.J. Howard","BUF","25.3","283.2","2.0","0.1","40.4"
"Ricky Seals-Jones","NYG","27.7","263.7","2.4","0.1","40.4"
"John Bates","WAS","24.7","300.3","1.6","0.1","39.6"
"Donald Parham Jr.","LAC","22.1","225.1","2.8","0.1","39.1"
