"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Cooper Kupp","LAR","123.7","1,569.3","11.9","4.1","20.8","0.1","0.8","229.2"
"Deebo Samuel","SF","69.9","1,115.5","4.7","78.6","460.9","5.5","1.7","215.3"
"Justin Jefferson","MIN","101.5","1,511.9","8.5","4.6","17.4","0.1","0.8","202.9"
"Ja'Marr Chase","CIN","88.7","1,377.5","9.8","12.3","60.6","0.3","0.9","202.6"
"Stefon Diggs","BUF","102.3","1,295.4","8.9","0.5","4.5","0.0","0.8","181.8"
"Davante Adams","LV","110.0","1,357.6","7.2","0.0","0.0","0.0","0.7","177.6"
"Mike Evans","TB","80.3","1,125.0","10.3","0.5","3.5","0.0","0.7","173.2"
"CeeDee Lamb","DAL","89.7","1,205.1","7.2","9.4","66.8","0.2","0.7","170.1"
"Tee Higgins","CIN","84.7","1,188.7","7.8","0.5","2.0","0.0","0.8","164.0"
"A.J. Brown","PHI","75.6","1,149.9","7.6","1.0","10.5","0.0","0.7","160.4"
"Tyreek Hill","MIA","95.1","1,118.9","7.1","9.5","62.3","0.2","0.8","160.4"
"Mike Williams","LAC","71.5","1,102.4","8.4","0.0","0.0","0.0","0.6","159.6"
"Keenan Allen","LAC","105.1","1,134.3","6.9","0.5","1.0","0.0","0.8","153.1"
"Michael Pittman Jr.","IND","89.2","1,109.8","6.3","4.9","36.5","0.1","0.8","151.6"
"Diontae Johnson","PIT","98.3","1,122.4","6.2","4.5","33.3","0.1","1.5","150.2"
"DJ Moore","CAR","86.3","1,171.1","4.9","7.3","43.8","0.1","0.8","150.1"
"Terry McLaurin","WAS","80.8","1,128.4","6.2","0.5","6.0","0.0","0.7","149.2"
"DK Metcalf","SEA","76.6","1,066.5","7.3","0.5","2.5","0.0","0.8","148.9"
"Chris Godwin","TB","92.3","1,077.9","6.1","4.0","21.6","0.6","1.4","147.8"
"Darnell Mooney","CHI","79.3","1,106.1","5.2","5.1","26.4","0.6","0.7","146.4"
"Jaylen Waddle","MIA","95.6","1,020.6","6.5","5.0","25.3","0.7","0.9","146.4"
"Jerry Jeudy","DEN","77.8","1,121.2","5.3","3.1","13.8","0.1","0.9","144.3"
"Gabriel Davis","BUF","54.3","875.3","9.4","0.0","0.0","0.0","0.2","143.5"
"Brandin Cooks","HOU","92.2","1,102.9","5.2","2.9","23.9","0.1","0.7","142.8"
"Amari Cooper","CLE","80.5","1,002.4","7.2","0.5","1.5","0.0","0.8","142.2"
"Marquise Brown","ARI","84.6","1,042.7","6.5","0.5","2.5","0.0","0.9","141.5"
"Courtland Sutton","DEN","69.9","1,033.5","6.4","0.5","1.5","0.0","0.7","140.5"
"Adam Thielen","MIN","74.8","831.7","9.3","1.0","3.0","0.0","0.8","137.4"
"Tyler Lockett","SEA","83.5","1,070.6","4.9","2.0","8.0","0.0","0.7","136.3"
"Michael Thomas","NO","87.9","1,018.1","6.0","0.5","-2.0","0.0","0.7","136.2"
"Elijah Moore","NYJ","62.1","831.6","6.2","7.0","71.4","1.1","0.8","133.0"
"DeVonta Smith","PHI","66.4","933.0","6.9","0.0","0.0","0.0","0.7","132.9"
"Amon-Ra St. Brown","DET","83.3","895.5","5.4","9.8","69.9","0.8","0.8","132.2"
"Allen Robinson II","LAR","73.0","957.3","5.8","0.0","0.0","0.0","0.7","129.3"
"Rashod Bateman","BAL","75.8","990.3","4.8","0.0","0.0","0.0","0.8","126.1"
"Michael Gallup","DAL","61.9","897.4","6.1","0.0","0.0","0.0","0.6","124.9"
"Hunter Renfrow","LV","81.6","845.5","6.7","3.0","13.0","0.1","1.0","124.9"
"Treylon Burks","TEN","61.7","892.2","5.3","5.1","29.1","0.1","1.2","122.4"
"JuJu Smith-Schuster","KC","77.8","833.6","5.6","2.5","9.5","1.0","0.8","122.3"
"Chase Claypool","PIT","62.1","890.2","3.7","13.4","74.6","0.3","0.7","118.9"
"Drake London","ATL","68.8","927.0","4.6","1.0","4.5","0.0","1.2","118.1"
"Russell Gage","TB","74.8","830.5","5.9","0.5","2.0","0.0","1.3","116.0"
"Tim Patrick","DEN","56.4","777.1","6.5","0.0","0.0","0.0","0.7","115.2"
"Brandon Aiyuk","SF","60.8","840.4","4.9","3.7","19.2","0.1","0.8","114.1"
"Robert Woods","TEN","66.7","755.0","4.4","11.7","73.6","1.1","0.7","114.1"
"Garrett Wilson","NYJ","58.3","852.9","4.8","2.0","12.2","0.0","1.2","113.0"
"Christian Kirk","JAC","78.2","892.8","4.0","1.0","9.5","0.0","0.7","112.8"
"Chris Olave","NO","54.2","810.4","5.3","1.5","5.5","0.0","0.7","111.8"
"Allen Lazard","GB","51.3","665.4","7.2","3.5","27.8","0.1","0.6","111.5"
"Marquez Valdes-Scantling","KC","43.3","773.3","5.2","1.4","7.4","0.0","0.1","109.1"
"Christian Watson","GB","52.0","758.0","5.5","3.0","17.3","0.1","1.2","108.6"
"Marvin Jones Jr.","JAC","62.3","715.0","5.9","0.0","0.0","0.0","0.6","105.5"
"Kadarius Toney","NYG","70.3","795.0","3.4","10.0","62.3","0.1","0.8","105.2"
"Kenny Golladay","NYG","55.4","810.4","4.2","0.0","0.0","0.0","0.7","104.8"
"DeVante Parker","NE","56.2","794.1","4.4","0.0","0.0","0.0","0.7","104.4"
"Mecole Hardman","KC","55.0","696.0","4.1","10.3","70.9","0.8","1.3","103.6"
"K.J. Osborn","MIN","51.3","678.5","5.9","0.5","4.5","0.0","0.6","102.1"
"Robby Anderson","CAR","57.7","715.6","4.8","3.4","23.7","0.1","0.7","101.9"
"Alec Pierce","IND","55.0","739.6","4.7","0.0","0.0","0.0","0.3","101.6"
"Jakobi Meyers","NE","74.9","783.5","3.8","0.5","4.5","0.0","0.8","100.2"
"Jahan Dotson","WAS","53.1","746.1","4.4","1.0","5.0","0.0","1.2","98.9"
"Tyler Boyd","CIN","66.6","729.9","4.1","2.5","17.6","0.0","0.7","98.0"
"Corey Davis","NYJ","51.1","689.9","4.7","0.0","0.0","0.0","0.7","95.6"
"Jameson Williams","DET","49.0","690.9","4.4","1.0","5.0","0.0","0.7","94.4"
"Van Jefferson","LAR","44.7","656.9","4.1","3.1","25.0","0.1","0.2","93.2"
"Skyy Moore","KC","48.7","659.5","4.5","1.0","5.5","0.0","0.7","92.1"
"Jalen Tolbert","DAL","47.2","652.1","4.5","1.0","5.5","0.0","0.6","91.4"
"John Metchie III","HOU","58.4","710.7","3.5","0.0","0.0","0.0","0.4","91.1"
"DeAndre Hopkins","ARI","54.3","623.6","4.8","0.0","1.0","0.0","0.7","90.0"
"Joshua Palmer","LAC","51.1","592.2","4.9","0.0","0.0","0.0","0.4","87.6"
"D.J. Chark Jr.","DET","40.6","591.3","4.6","0.5","4.0","0.0","0.1","86.9"
"Rondale Moore","ARI","63.5","560.9","2.9","23.7","122.7","0.5","0.9","86.5"
"George Pickens","PIT","52.4","675.6","3.1","0.0","0.0","0.0","0.3","85.5"
"A.J. Green","ARI","44.4","645.2","3.5","0.0","0.0","0.0","0.6","84.0"
"Donovan Peoples-Jones","CLE","40.3","657.8","3.2","0.0","0.0","0.0","0.7","83.7"
"Curtis Samuel","WAS","45.5","489.7","3.4","17.2","89.5","0.9","0.7","82.1"
"Cedrick Wilson Jr.","MIA","49.2","592.5","4.0","1.5","3.5","0.0","0.8","81.7"
"Kendrick Bourne","NE","41.7","499.7","3.5","11.1","90.8","0.3","0.6","80.3"
"Velus Jones Jr.","CHI","49.6","608.6","3.3","0.0","0.0","0.0","0.3","80.2"
"Jamison Crowder","BUF","53.1","536.5","4.4","0.5","2.5","0.0","0.7","79.1"
"Nick Westbrook-Ikhine","TEN","42.7","546.6","4.2","0.0","0.0","0.0","0.7","78.5"
"James Washington","DAL","32.3","508.0","4.4","1.0","6.5","0.0","0.1","77.9"
"Braxton Berrios","NYJ","42.0","420.4","2.6","11.0","71.4","2.3","0.6","77.0"
"Randall Cobb","GB","40.1","484.1","4.8","2.0","7.4","0.0","0.7","76.9"
"Nico Collins","HOU","42.9","573.1","2.6","0.0","0.0","0.0","0.2","72.5"
"Devin Duvernay","BAL","41.5","461.8","3.0","9.3","62.4","0.4","0.4","71.8"
"Sammy Watkins","GB","39.6","528.9","3.0","1.5","8.3","0.0","0.7","70.4"
"Marquez Callaway","NO","33.9","463.2","3.9","0.0","0.0","0.0","0.1","69.3"
"Darius Slayton","NYG","35.7","507.4","3.2","0.5","-5.0","0.0","0.6","68.9"
"Anthony Schwartz","CLE","37.3","475.4","3.0","4.3","26.2","0.2","0.3","68.7"
"D'Wayne Eskridge","SEA","37.6","462.3","2.6","7.9","52.5","0.3","0.3","67.8"
"Sterling Shepard","NYG","55.2","522.9","2.3","2.5","9.5","0.0","0.6","66.1"
"Malik Turner","SF","24.0","348.0","5.0","0.0","0.0","0.0","0.0","64.8"
"Jauan Jennings","SF","35.9","407.6","4.0","0.0","0.0","0.0","0.1","64.6"
"Nelson Agholor","NE","32.4","414.3","2.9","3.7","18.4","0.1","0.1","61.0"
"Olamide Zaccheaus","ATL","35.8","436.9","2.9","0.5","1.0","0.0","0.1","61.0"
"Zay Jones","JAC","42.6","475.9","2.3","1.0","1.5","0.0","0.6","60.4"
"Bryan Edwards","LV","27.3","440.3","2.6","0.0","0.0","0.0","0.1","59.6"
"Terrace Marshall Jr.","CAR","38.5","443.1","2.1","0.0","0.0","0.0","0.3","56.3"
"Laviska Shenault Jr.","JAC","38.9","400.2","1.5","11.4","48.1","0.1","0.6","53.5"
"Tutu Atwell","LAR","30.1","368.7","2.8","0.0","0.0","0.0","0.2","53.5"
"Amari Rodgers","GB","30.6","408.8","2.1","1.0","9.5","0.0","0.6","53.2"
"Jalen Guyton","LAC","23.9","341.6","2.2","7.8","39.0","0.2","0.1","52.4"
"David Bell","CLE","27.9","388.1","2.3","1.0","6.0","0.0","0.6","52.0"
"Wan'Dale Robinson","NYG","31.2","340.5","1.7","8.1","49.1","0.4","0.2","50.6"
"Byron Pringle","CHI","35.6","390.8","1.9","0.0","0.0","0.0","0.3","49.8"
